protocol,file,startup_delay_sec
QUIC,S9.qlog,0.06716442108154297
QUIC,S7.qlog,0.0837249755859375
QUIC,S4.qlog,0.10971736907958984
QUIC,S10.qlog,0.044326066970825195
QUIC,S3.qlog,0.24229645729064941
QUIC,S5.qlog,0.3883078098297119
QUIC,S6.qlog,0.0992119312286377
QUIC,S1.qlog,0.014658689498901367
QUIC,S8.qlog,0.8453714847564697
QUIC,S2.qlog,0.04438066482543945
DASH,S10.csv,4.596370291778564
DASH,S4.csv,0.8161759421844481
DASH,S5.csv,1.668756569946289
DASH,S6.csv,0.7922445553588867
DASH,S3.csv,0.5308790570526123
DASH,S8.csv,0.4902065181274414
DASH,S2.csv,0.5112533309631346
DASH,S7.csv,0.9119020848236083
DASH,S1.csv,0.2241855376739502
DASH,S9.csv,0.4097958374023437
