timestamp,segment_index,bitrate,segment_size_bytes,download_time_sec,throughput_bps,smoothed_throughput_bps,rtt_estimate_sec,buffer_level_sec,rebuffering_count,total_rebuffering_duration_sec,playback_position_sec,is_rebuffering,bitrate_switch,goodput_bps,packet_loss_estimate
2025-10-09T02:26:07.124598,2,1080000,1165,0.2986032962799072,31211.979626854292,182524.77916407486,0.2507588791847229,0,3,0.3245203495025635,2.0,False,0,31211.979626854292,0.8289986720170346
2025-10-09T02:26:07.125262,2,1080000,1165,0.2992672920227051,31142.728418489856,182425.99417275196,0.2558380055427551,0,3,0.3245203495025635,2.0,False,0,31142.728418489856,0.829285686178042
2025-10-09T02:26:07.126092,2,1080000,1165,0.3000972270965576,31056.60152268334,31212.872497451688,0.2609358716011047,0,3,0.3245203495025635,2.0,False,0,31056.60152268334,0.005006619457440386
2025-10-09T02:26:07.126528,2,1080000,1165,0.30053281784057617,31011.588241734007,31136.639867574784,0.2660364317893982,0,3,0.3245203495025635,2.0,False,0,31011.588241734007,0.004016220965801895
2025-10-09T02:26:07.127059,2,1080000,1165,0.30106425285339355,30956.8469576442,31075.94895348114,0.2711481261253357,0,3,0.3245203495025635,2.0,False,0,30956.8469576442,0.0038326101003457176
2025-10-09T02:26:07.128327,2,1080000,1165,0.30233192443847656,30827.0455305377,30998.96213421782,0.27211188554763793,0,3,0.3245203495025635,2.0,False,0,30827.0455305377,0.005545882566511916
2025-10-09T02:26:07.129128,2,1080000,1165,0.3031330108642578,30745.579220909967,30919.532294701843,0.2729656863212585,0,3,0.3245203495025635,2.0,False,0,30745.579220909967,0.005625993049761726
2025-10-09T02:26:07.129524,2,1080000,1165,0.3035292625427246,30705.44145208445,30849.300280582065,0.3003584623336792,0,3,0.3245203495025635,2.0,False,0,30705.44145208445,0.004663276871409794
2025-10-09T02:26:07.129845,2,1080000,1165,0.3038501739501953,30673.011895420736,30781.58501131941,0.3010550975799561,0,3,0.3245203495025635,2.0,False,0,30673.011895420736,0.003527210046485542
2025-10-09T02:26:07.130482,2,1080000,1165,0.3044872283935547,30608.837188907473,30711.983057572063,0.3016896486282349,0,3,0.3245203495025635,2.0,False,0,30608.837188907473,0.0033584893711107503
2025-10-09T02:26:07.131110,2,1080000,1165,0.3051149845123291,30545.861308307514,30655.746213126033,0.30234081745147706,0,3,0.3245203495025635,2.0,False,0,30545.861308307514,0.0035844798575305403
