timestamp,segment_index,bitrate,segment_size_bytes,download_time_sec,throughput_bps,smoothed_throughput_bps,rtt_estimate_sec,buffer_level_sec,rebuffering_count,total_rebuffering_duration_sec,playback_position_sec,is_rebuffering,bitrate_switch,goodput_bps,packet_loss_estimate
2025-10-09T13:04:03.077528,0,360000,13,0.07493424415588379,1387.8834860020936,100871.33003061739,0.07340199947357177,0.0,1,0.0,0.0,False,0,1387.8834860020936,0.9862410509945608
2025-10-09T13:04:03.077724,0,360000,1165,0.07513046264648438,124050.8799187611,100404.56654117037,0.07377924919128417,0.0,1,0.0,0.0,False,0,124050.8799187611,0.23551033774838007
2025-10-09T13:04:03.077929,0,360000,1165,0.07533550262451172,123713.2517247927,99963.82936478892,0.07407736778259277,0.0,1,0.0,0.0,False,0,123713.2517247927,0.23758015785226844
2025-10-09T13:04:03.078216,0,360000,1165,0.0756220817565918,123244.42521959002,99514.45642724285,0.07438070774078369,0.0,1,0.0,0.0,False,0,123244.42521959002,0.23845750300306018
2025-10-09T13:04:03.078406,0,360000,1165,0.07581186294555664,122935.9052513067,99066.46912009052,0.07468454837799073,0.0,1,0.0,0.0,False,0,122935.9052513067,0.24094364463803722
2025-10-09T13:04:03.078661,0,360000,1165,0.07606697082519531,122523.6117449412,123293.61477187835,0.07493846416473389,0.0,1,0.0,0.0,False,0,122523.6117449412,0.006245279030563201
2025-10-09T13:04:03.078909,0,360000,1165,0.07631540298461914,122124.75641225906,122908.39007057794,0.07519569396972656,0.0,1,0.0,0.0,False,0,122124.75641225906,0.006375753989364718
2025-10-09T13:04:03.079100,0,360000,1165,0.07650613784790039,121820.29131478077,122529.79798857556,0.07544460296630859,0.0,1,0.0,0.0,False,0,121820.29131478077,0.005790482686186635
2025-10-09T13:04:03.082456,0,360000,1165,0.07985353469848633,116713.68130654166,121223.64920596588,0.07600314617156982,0.0,1,0.0,0.0,False,0,116713.68130654166,0.0372036968773438
2025-10-09T13:04:03.087081,0,360000,1165,0.08448362350463867,110317.23798504303,118699.91575271315,0.07700598239898682,0.0,1,0.0,0.0,False,0,110317.23798504303,0.07062075583215831
2025-10-09T13:04:03.088252,0,360000,1165,0.08565640449523926,108806.80849168729,115956.55510206237,0.07807819843292237,0.0,1,0.0,0.0,False,0,108806.80849168729,0.06165883941690084
2025-10-09T13:04:03.089063,0,360000,1165,0.08646678924560547,107787.04842996901,113089.01350560435,0.07921183109283447,0.0,1,0.0,0.0,False,0,107787.04842996901,0.04688311367551709
2025-10-09T13:04:03.104905,0,360000,1165,0.1023097038269043,91095.95328091574,106944.14589883135,0.08190925121307373,0.0,1,0.0,0.0,False,0,91095.95328091574,0.14819130570183736
2025-10-09T13:04:03.107015,0,360000,1165,0.10442042350769043,89254.57000577664,101452.32363867834,0.0847890853881836,0.0,1,0.0,0.0,False,0,89254.57000577664,0.12023138746771249
2025-10-09T13:04:03.107389,0,360000,1165,0.10479474067687988,88935.76089602563,97176.02822087487,0.08768737316131592,0.0,1,0.0,0.0,False,0,88935.76089602563,0.08479732579849464
2025-10-09T13:04:03.108038,0,360000,1165,0.10544395446777344,88388.18732702639,93092.30398794268,0.09062507152557372,0.0,1,0.0,0.0,False,0,88388.18732702639,0.05053174601335001
2025-10-09T13:04:03.108405,0,360000,1165,0.10581088066101074,88081.67876287452,89151.23005452378,0.0935746192932129,0.0,1,0.0,0.0,False,0,88081.67876287452,0.011997044695795388
2025-10-09T13:04:03.108785,0,360000,1165,0.10619091987609863,87766.44943724363,88485.32928578937,0.09654309749603271,0.0,1,0.0,0.0,False,0,87766.44943724363,0.008124282910491339
2025-10-09T13:04:03.109297,0,360000,1165,0.10670256614685059,87345.60317109193,88103.53591885242,0.09922800064086915,0.0,1,0.0,0.0,False,0,87345.60317109193,0.008602750614442699
2025-10-09T13:04:03.109657,0,360000,1165,0.10706305503845215,87051.50433688523,87726.68460702433,0.1014859437942505,0.0,1,0.0,0.0,False,0,87051.50433688523,0.007696407007327355
2025-10-09T13:04:03.110161,0,360000,1165,0.10756611824035645,86644.3834960602,87377.9238408311,0.10367691516876221,0.0,1,0.0,0.0,False,0,86644.3834960602,0.008395030604150519
2025-10-09T13:04:03.110742,0,360000,1165,0.10814785957336426,86178.31214382558,86997.25051702131,0.10584502220153809,0.0,1,0.0,0.0,False,0,86178.31214382558,0.009413382242873376
2025-10-09T13:04:03.111424,0,360000,1165,0.10882925987243652,85638.73365420637,86571.70736041386,0.10649697780609131,0.0,1,0.0,0.0,False,0,85638.73365420637,0.010776889293904593
2025-10-09T13:04:03.111781,0,360000,1165,0.10918712615966797,85358.04840555153,86174.19640730578,0.10697364807128906,0.0,1,0.0,0.0,False,0,85358.04840555153,0.009470909341546893
2025-10-09T13:04:03.112115,0,360000,1165,0.10952091217041016,85097.9033620397,85783.47621233667,0.10744626522064209,0.0,1,0.0,0.0,False,0,85097.9033620397,0.007991898679880951
2025-10-09T13:04:03.112309,0,360000,1165,0.10971546173095703,84947.00612803685,85444.00073873201,0.10787341594696045,0.0,1,0.0,0.0,False,0,84947.00612803685,0.005816612124879878
2025-10-09T13:04:03.113009,0,360000,1165,0.11041545867919922,84408.4706207516,85090.03243411721,0.1083338737487793,0.0,1,0.0,0.0,False,0,84408.4706207516,0.008009890158325228
2025-10-09T13:04:03.113227,0,360000,1165,0.11063313484191895,84242.39278148564,84810.76425957306,0.10877809524536133,0.0,1,0.0,0.0,False,0,84242.39278148564,0.006701643158736882
2025-10-09T13:04:03.113493,0,360000,1165,0.11089873313903809,84040.63541749527,84547.28166196181,0.10919771194458008,0.0,1,0.0,0.0,False,0,84040.63541749527,0.005992460484917991
2025-10-09T13:04:03.113722,0,360000,1165,0.11112809181213379,83867.18288797588,84301.13756714905,0.10960421562194825,0.0,1,0.0,0.0,False,0,83867.18288797588,0.0051476728748471355
2025-10-09T13:04:03.114049,0,360000,1165,0.11145544052124023,83620.86190152264,84035.90872184621,0.10999314785003662,0.0,1,0.0,0.0,False,0,83620.86190152264,0.004938922261165105
2025-10-09T13:04:03.114313,0,360000,1165,0.11171913146972656,83423.49136974374,83838.91287164463,0.11035027503967285,0.0,1,0.0,0.0,False,0,83423.49136974374,0.004954996285995319
2025-10-09T13:04:03.115126,0,360000,1165,0.1125328540802002,82820.25792536818,83554.48590042113,0.11072063446044922,0.0,1,0.0,0.0,False,0,82820.25792536818,0.00878741538698469
2025-10-09T13:04:03.115465,0,360000,1165,0.11287093162536621,82572.18989681358,83260.7967962848,0.11108901500701904,0.0,1,0.0,0.0,False,0,82572.18989681358,0.008270481738915479
2025-10-09T13:04:03.115895,0,360000,1165,0.11329960823059082,82259.77252305808,82939.31472330124,0.11146688461303711,0.0,1,0.0,0.0,False,0,82259.77252305808,0.00819324589924838
2025-10-09T13:04:03.117513,0,360000,1165,0.11491656303405762,81102.3211444102,82435.60657187876,0.11198699474334717,0.0,1,0.0,0.0,False,0,81102.3211444102,0.016173659452678495
2025-10-09T13:04:03.119628,0,360000,1165,0.11703348159790039,79635.33061437354,81677.97442080472,0.11264879703521728,0.0,1,0.0,0.0,False,0,79635.33061437354,0.025008502242079178
2025-10-09T13:04:03.120012,0,360000,1165,0.11741757392883301,79374.8302587896,80988.88888748901,0.1133272409439087,0.0,1,0.0,0.0,False,0,79374.8302587896,0.019929383534841208
2025-10-09T13:04:03.120230,0,360000,1165,0.11763596534729004,79227.47071854334,80319.94505183495,0.11400096416473389,0.0,1,0.0,0.0,False,0,79227.47071854334,0.013601532378870239
2025-10-09T13:04:03.120768,0,360000,1165,0.11817383766174316,78866.86414193687,79641.3633756107,0.11470553874969483,0.0,1,0.0,0.0,False,0,78866.86414193687,0.009724836452398276
2025-10-09T13:04:03.121014,0,360000,1165,0.11842036247253418,78702.68090221084,79161.43532717084,0.11540203094482422,0.0,1,0.0,0.0,False,0,78702.68090221084,0.005795175681997057
2025-10-09T13:04:03.125003,0,360000,1165,0.12240910530090332,76138.1269562406,78461.99459554425,0.1164710283279419,0.0,1,0.0,0.0,False,0,76138.1269562406,0.029617748711114562
2025-10-09T13:04:03.125227,0,360000,1165,0.12263321876525879,75998.98374876789,77786.8252935399,0.11748106479644775,0.0,1,0.0,0.0,False,0,75998.98374876789,0.02298386054483311
2025-10-09T13:04:03.125592,0,360000,1165,0.12299847602844238,75773.29655568113,77095.99046096746,0.11849381923675537,0.0,1,0.0,0.0,False,0,75773.29655568113,0.01715645518499423
2025-10-09T13:04:03.125808,0,360000,1165,0.1232140064239502,75640.75116535119,76450.76786565033,0.11948525905609131,0.0,1,0.0,0.0,False,0,75640.75116535119,0.010595272263616867
2025-10-09T13:04:03.126171,0,360000,1165,0.12357687950134277,75418.63848325066,75793.9593818583,0.12035129070281983,0.0,1,0.0,0.0,False,0,75418.63848325066,0.004951857663441584
2025-10-09T13:04:03.126428,0,360000,1165,0.12383365631103516,75262.25323260094,75618.78463713036,0.1210313081741333,0.0,1,0.0,0.0,False,0,75262.25323260094,0.004714852351043441
2025-10-09T13:04:03.126668,0,360000,1165,0.12407374382019043,75116.61785193399,75442.31145776357,0.12169692516326905,0.0,1,0.0,0.0,False,0,75116.61785193399,0.0043171212484909485
2025-10-09T13:04:03.127176,0,360000,1165,0.12458252906799316,74809.84749405306,75249.62164543798,0.12239158153533936,0.0,1,0.0,0.0,False,0,74809.84749405306,0.00584420415370393
2025-10-09T13:04:03.127380,0,360000,1165,0.1247866153717041,74687.49731081615,75058.97087453096,0.12305285930633544,0.0,1,0.0,0.0,False,0,74687.49731081615,0.004949089487727842
